chunk_id,num_movies,length,movie_ids,text
0,5,1855,"5,11,12,13,14","Movie: Four Rooms
ID: 5
Cast Members (24): Tim Roth, Antonio Banderas, Jennifer Beals, Madonna, Marisa Tomei, Bruce Willis, Quentin Tarantino, Sammi Davis, Amanda de Cadenet, Valeria Golino...
Crew Members (88): Allison Anders, Allison Anders, Alexandre Rockwell, Alexandre Rockwell, Alexandre Rockwell, Robert Rodriguez, Robert Rodriguez, Robert Rodriguez, Quentin Tarantino, Quentin Tarantino...

Movie: Star Wars
ID: 11
Cast Members (106): Mark Hamill, Harrison Ford, Carrie Fisher, Peter Cushing,..."
1,5,1877,"14,16,18,19,20","Movie: American Beauty
ID: 14
Cast Members (40): Kevin Spacey, Annette Bening, Thora Birch, Wes Bentley, Mena Suvari, Chris Cooper, Scott Bakula, Peter Gallagher, Allison Janney, Sam Robards...
Crew Members (109): Thomas Newman, Sam Mendes, Alan Ball, Alan Ball, Alan Ball, Bruce Cohen, Dan Jinks, Conrad L. Hall, Christopher Greenbury, Tariq Anwar...

Movie: Dancer in the Dark
ID: 16
Cast Members (29): Björk, Catherine Deneuve, David Morse, Peter Stormare, Joel Grey, Cara Seymour, Vladica Kostic,..."
2,5,1965,"20,22,24,25,28","Movie: My Life Without Me
ID: 20
Cast Members (12): Sarah Polley, Amanda Plummer, Scott Speedman, Leonor Watling, Deborah Harry, Mark Ruffalo, Maria de Medeiros, Julian Richings, Jessica Amlee, Kenya Jo Kennedy...
Crew Members (17): Isabel Coixet, Esther García, Gordon McLennan, Nanci Kincaid, Jean-Claude Larrieu, Lisa Robison, Alfonso Vilallonga, Agustín Almodóvar, Pedro Almodóvar, Heidi Levitt...

Movie: Pirates of the Caribbean: The Curse of the Black Pearl
ID: 22
Cast Members (70): Johnny De..."
3,5,1995,"28,33,35,38,55","Movie: Apocalypse Now
ID: 28
Cast Members (36): Martin Sheen, Marlon Brando, Robert Duvall, Frederic Forrest, Sam Bottoms, Laurence Fishburne, Albert Hall, Harrison Ford, Dennis Hopper, G. D. Spradlin...
Crew Members (49): Walter Murch, Walter Murch, Francis Ford Coppola, Francis Ford Coppola, Francis Ford Coppola, Francis Ford Coppola, Joseph Conrad, John Milius, Gray Frederickson, Fred Roos...

Movie: Unforgiven
ID: 33
Cast Members (33): Clint Eastwood, Gene Hackman, Morgan Freeman, Richard Ha..."
4,5,1978,"55,58,59,62,65","Movie: Amores perros
ID: 55
Cast Members (25): Gael García Bernal, Vanessa Bauche, Goya Toledo, Alvaro Guerrero, Emilio Echevarría, Jorge Salinas, Rodrigo Murray, Humberto Busto, Gerardo Campbell, Rosa María Bianchi...
Crew Members (59): Alejandro González Iñárritu, Alejandro González Iñárritu, Alejandro González Iñárritu, Guillermo Arriaga, Guillermo Arriaga, Rodrigo Prieto, Luis Carballar, Fernando Pérez Unda, Gustavo Santaolalla, Antonio Vega...

Movie: Pirates of the Caribbean: Dead Man's Ch..."
5,5,1863,"65,66,68,69,70","Movie: 8 Mile
ID: 65
Cast Members (19): Eminem, Mekhi Phifer, Brittany Murphy, Kim Basinger, Michael Shannon, Taryn Manning, Anthony Mackie, De'Angelo Wilson, Evan Jones, Omar Benson Miller...
Crew Members (92): Rodrigo Prieto, Curtis Hanson, Curtis Hanson, Scott Silver, Jay Rabinowitz, Craig Kitson, Brian Grazer, Jimmy Iovine, Mali Finn, Philip Messina...

Movie: Absolute Power
ID: 66
Cast Members (11): Clint Eastwood, Gene Hackman, Ed Harris, Scott Glenn, Laura Linney, Judy Davis, Dennis Haysb..."
6,5,1852,"70,71,73,74,75","Movie: Million Dollar Baby
ID: 70
Cast Members (49): Clint Eastwood, Hilary Swank, Morgan Freeman, Jay Baruchel, Mike Colter, Lucia Rijker, Brían F. O'Byrne, Anthony Mackie, Margo Martindale, Riki Lindhome...
Crew Members (81): Clint Eastwood, Clint Eastwood, Clint Eastwood, Lennie Niehaus, Henry Bumstead, Joel Cox, Phyllis Huffman, Jack G. Taylor Jr., Bill Coe, Bub Asman...

Movie: Billy Elliot
ID: 71
Cast Members (17): Jamie Bell, Julie Walters, Jean Heywood, Jamie Draven, Gary Lewis, Stephen ..."
7,5,1853,"75,76,77,78,79","Movie: Mars Attacks!
ID: 75
Cast Members (22): Jack Nicholson, Glenn Close, Annette Bening, Pierce Brosnan, Danny DeVito, Martin Short, Sarah Jessica Parker, Michael J. Fox, Rod Steiger, Tom Jones...
Crew Members (21): Larry J. Franco, Peter Suschitzky, Tim Burton, Tim Burton, Laurie Parker, Jonathan Gems, Danny Elfman, Victor Herbert, Chris Lebenzon, Matthew Barry...

Movie: Before Sunrise
ID: 76
Cast Members (27): Ethan Hawke, Julie Delpy, Andrea Eckert, Hanno Pöschl, Karl Bruckschwaiger, Tex ..."
8,5,1758,"79,80,83,85,87","Movie: Hero
ID: 79
Cast Members (27): Jet Li, Tony Leung Chiu-Wai, Maggie Cheung, Donnie Yen, Zhang Ziyi, Chen Dao-Ming, Liu Zhong Yuan, Zheng Tia Yong, Yan Qin, Chang Xiao Yang...
Crew Members (19): Zhang Yimou, Zhang Yimou, Zhang Yimou, Feng Li, Wang Bin, Philip Lee, Shoufang Dou, William Kong, Zhang Weiping, Zhenyan Zhang...

Movie: Before Sunset
ID: 80
Cast Members (10): Ethan Hawke, Julie Delpy, Vernon Dobtcheff, Louise Lemoine Torrès, Mariane Plasteig, Diabolo, Denis Evrard, Albert Delpy, ..."
9,5,1946,"87,89,90,95,96","Movie: Indiana Jones and the Temple of Doom
ID: 87
Cast Members (69): Harrison Ford, Kate Capshaw, Jonathan Ke Quan, Amrish Puri, Roshan Seth, Philip Stone, Roy Chiao, David Yip, Ric Young, Chua Kah Joo...
Crew Members (27): George Lucas, George Lucas, George Lucas, George Lucas, John Williams, Steven Spielberg, Kathleen Kennedy, Michael Kahn, Jane Feinberg, Mike Fenton...

Movie: Indiana Jones and the Last Crusade
ID: 89
Cast Members (51): Harrison Ford, Sean Connery, Denholm Elliott, Alison Do..."
10,5,1891,"96,98,100,103,104","Movie: Beverly Hills Cop II
ID: 96
Cast Members (27): Eddie Murphy, Judge Reinhold, John Ashton, Ronny Cox, Paul Reiser, Gilbert R. Hill, Brigitte Nielsen, Dean Stockwell, Jürgen Prochnow, Allen Garfield...
Crew Members (26): Jerry Bruckheimer, Chris Lebenzon, Bonnie Timmermann, Don Simpson, Danilo Bach, Daniel Petrie, Jr., Eddie Murphy, James J. Murakami, Harold Faltermeyer, Tony Scott...

Movie: Gladiator
ID: 98
Cast Members (38): Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed, Ri..."
11,5,1912,"104,105,106,107,111","Movie: Run Lola Run
ID: 104
Cast Members (23): Franka Potente, Moritz Bleibtreu, Herbert Knaup, Nina Petri, Armin Rohde, Joachim Król, Heino Ferch, Lars Rudolph, Ludger Pistor, Sebastian Schipper...
Crew Members (37): An Dorthe Braker, Tom Tykwer, Tom Tykwer, Tom Tykwer, Stefan Arndt, Johnny Klimek, Reinhold Heil, Frank Griebe, Mathilde Bonnefoy, Alexander Manasse...

Movie: Back to the Future
ID: 105
Cast Members (51): Michael J. Fox, Christopher Lloyd, Lea Thompson, Crispin Glover, Thomas F. W..."
12,5,1924,"111,114,115,116,117","Movie: Scarface
ID: 111
Cast Members (63): Al Pacino, Steven Bauer, Michelle Pfeiffer, Mary Elizabeth Mastrantonio, Robert Loggia, Miriam Colón, F. Murray Abraham, Paul Shenar, Harris Yulin, Ángel Salazar...
Crew Members (42): Gerald B. Greenberg, Jerry Ziesmer, Brian De Palma, Martin Bregman, Oliver Stone, John A. Alonzo, Giorgio Moroder, Ferdinando Scarfiotti, Alixe Gordin, David Ray...

Movie: Pretty Woman
ID: 114
Cast Members (17): Julia Roberts, Richard Gere, Ralph Bellamy, Jason Alexander,..."
